iter	Passed	Remaining
0	57	11501
1	58	5807
2	59	3907
3	60	2954
4	61	2383
5	61	2000
6	62	1730
7	63	1524
8	64	1366
9	65	1239
10	66	1134
11	66	1046
12	68	985
13	69	924
14	70	868
15	71	819
16	72	775
17	72	735
18	73	699
19	74	667
20	74	638
21	75	613
22	76	589
23	77	567
24	78	547
25	78	528
26	79	510
27	80	494
28	81	478
29	81	463
30	82	450
31	83	438
32	84	425
33	84	414
34	85	403
35	86	392
36	86	382
37	87	373
38	88	364
39	89	356
40	89	348
41	90	341
42	91	333
43	92	326
44	92	319
45	93	313
46	94	306
47	95	300
48	95	295
49	96	289
50	97	284
51	98	279
52	98	274
53	99	269
54	100	264
55	100	259
56	101	254
57	102	250
58	102	246
59	103	242
60	104	238
61	105	235
62	106	231
63	107	228
64	108	224
65	108	220
66	109	217
67	110	214
68	110	210
69	111	207
70	112	204
71	113	201
72	113	198
73	114	195
74	115	192
75	115	189
76	116	186
77	117	183
78	118	180
79	118	178
80	119	175
81	120	172
82	120	170
83	121	167
84	122	165
85	122	162
86	123	160
87	124	158
88	124	155
89	125	153
90	126	151
91	126	148
92	127	146
93	128	144
94	129	142
95	129	140
96	130	138
97	131	136
98	131	134
99	132	132
100	133	130
101	134	128
102	134	127
103	135	125
104	136	123
105	137	121
106	137	119
107	138	118
108	139	116
109	140	114
110	140	112
111	141	111
112	142	109
113	142	107
114	143	105
115	144	104
116	144	102
117	145	101
118	146	99
119	146	97
120	147	96
121	148	94
122	148	93
123	149	91
124	150	90
125	150	88
126	151	87
127	152	85
128	152	84
129	153	82
130	154	81
131	155	79
132	155	78
133	156	77
134	157	75
135	157	74
136	159	73
137	160	71
138	160	70
139	161	69
140	162	67
141	162	66
142	164	65
143	165	64
144	165	62
145	166	61
146	167	60
147	167	59
148	168	57
149	169	56
150	170	55
151	171	54
152	172	52
153	172	51
154	173	50
155	174	49
156	174	47
157	175	46
158	176	45
159	176	44
160	178	43
161	178	41
162	179	40
163	180	39
164	181	38
165	182	37
166	182	36
167	183	34
168	184	33
169	185	32
170	186	31
171	187	30
172	188	29
173	188	28
174	189	27
175	190	25
176	190	24
177	191	23
178	192	22
179	193	21
180	194	20
181	195	19
182	196	18
183	196	17
184	197	16
185	198	14
186	199	13
187	199	12
188	201	11
189	201	10
190	202	9
191	203	8
192	204	7
193	204	6
194	205	5
195	206	4
196	206	3
197	207	2
198	209	1
199	209	0
